user,track_id,n_plays,avg_ms,skip_count,meaningful_pct,skip_rate,weight
riya,4137,4,16251.5,3,0.25,0.75,0.40235947810852507
riya,4138,2,115831.0,1,0.5,0.5,0.5493061443340549
riya,4139,4,99895.5,2,0.5,0.5,0.8047189562170501
riya,4140,4,94091.5,2,0.5,0.5,0.8047189562170501
riya,4141,3,108373.0,0,1.0,0.0,1.3862943611198906
riya,4142,6,32029.333333333332,4,0.3333333333333333,0.6666666666666666,0.648636716351771
riya,4143,4,69520.25,3,0.25,0.75,0.40235947810852507
riya,4144,4,67153.75,3,0.25,0.75,0.40235947810852507
riya,4145,6,68919.33333333333,2,0.6666666666666666,0.3333333333333333,1.297273432703542
riya,4146,2,41261.5,2,0.0,1.0,0.0
riya,4147,4,88338.25,2,0.5,0.5,0.8047189562170501
riya,4148,4,27918.75,4,0.0,1.0,0.0
riya,4149,2,1990.5,2,0.0,1.0,0.0
riya,4150,3,56858.333333333336,2,0.3333333333333333,0.6666666666666666,0.46209812037329684
riya,4151,4,36582.25,3,0.25,0.75,0.40235947810852507
riya,4152,3,89861.66666666667,0,1.0,0.0,1.3862943611198906
riya,4153,1,859.0,1,0.0,1.0,0.0
riya,4154,2,36043.0,2,0.0,1.0,0.0
riya,4155,3,199493.0,0,1.0,0.0,1.3862943611198906
riya,4156,2,4632.0,2,0.0,1.0,0.0
riya,4157,2,4040.0,2,0.0,1.0,0.0
riya,4158,2,135066.5,1,0.5,0.5,0.5493061443340549
riya,4159,3,61361.0,1,0.6666666666666666,0.3333333333333333,0.9241962407465937
riya,4160,2,73386.0,0,1.0,0.0,1.0986122886681098
riya,4161,2,56082.5,1,0.5,0.5,0.5493061443340549
riya,4162,2,92295.0,1,0.5,0.5,0.5493061443340549
riya,4163,1,164733.0,1,0.0,1.0,0.0
riya,4164,2,148868.0,1,0.5,0.5,0.5493061443340549
riya,4165,1,172879.0,0,1.0,0.0,0.6931471805599453
riya,4166,2,62728.5,2,0.0,1.0,0.0
riya,4167,3,144988.0,0,1.0,0.0,1.3862943611198906
riya,4168,3,23870.666666666668,3,0.0,1.0,0.0
riya,4169,2,53344.0,2,0.0,1.0,0.0
riya,4170,2,92413.0,1,0.5,0.5,0.5493061443340549
riya,4171,2,1156.0,2,0.0,1.0,0.0
riya,4172,2,26992.5,2,0.0,1.0,0.0
riya,4173,5,148072.8,1,0.8,0.2,1.433407575382444
riya,4174,3,73537.66666666667,2,0.3333333333333333,0.6666666666666666,0.46209812037329684
riya,4175,3,115559.66666666667,1,0.6666666666666666,0.3333333333333333,0.9241962407465937
riya,4176,4,131817.75,2,0.5,0.5,0.8047189562170501
riya,4177,4,3345.25,4,0.0,1.0,0.0
riya,4178,1,243206.0,0,1.0,0.0,0.6931471805599453
riya,4179,2,2343.5,2,0.0,1.0,0.0
riya,4180,5,109669.8,2,0.6,0.4,1.0750556815368328
riya,4181,1,13878.0,1,0.0,1.0,0.0
riya,4182,2,64882.5,1,0.5,0.5,0.5493061443340549
riya,4183,1,126486.0,1,0.0,1.0,0.0
riya,4184,4,2047.25,4,0.0,1.0,0.0
riya,4185,3,84543.33333333333,3,0.0,1.0,0.0
riya,4186,3,42526.666666666664,1,0.3333333333333333,0.3333333333333333,0.46209812037329684
riya,4187,1,326240.0,0,1.0,0.0,0.6931471805599453
riya,4188,6,38306.0,4,0.3333333333333333,0.6666666666666666,0.648636716351771
riya,4189,1,192000.0,0,1.0,0.0,0.6931471805599453
riya,4190,1,143120.0,0,1.0,0.0,0.6931471805599453
riya,4191,2,221533.0,0,1.0,0.0,1.0986122886681098
riya,4192,1,207840.0,0,1.0,0.0,0.6931471805599453
riya,4193,2,80393.5,1,0.5,0.5,0.5493061443340549
riya,4194,1,152824.0,0,1.0,0.0,0.6931471805599453
riya,4195,1,366640.0,0,1.0,0.0,0.6931471805599453
riya,4196,4,10274.75,4,0.0,1.0,0.0
riya,4197,1,63392.0,1,0.0,1.0,0.0
riya,4198,4,66397.0,3,0.25,0.75,0.40235947810852507
riya,4199,1,87969.0,1,0.0,1.0,0.0
riya,4200,3,258522.0,0,1.0,0.0,1.3862943611198906
riya,4201,2,182431.0,1,0.5,0.5,0.5493061443340549
riya,4202,6,103028.16666666667,2,0.6666666666666666,0.3333333333333333,1.297273432703542
riya,4203,4,963.25,4,0.0,1.0,0.0
riya,4204,2,107744.0,2,0.0,1.0,0.0
riya,4205,8,51665.0,6,0.25,0.75,0.5493061443340549
riya,4206,2,57410.5,1,0.5,0.5,0.5493061443340549
riya,4207,1,629.0,1,0.0,1.0,0.0
riya,4208,3,34382.666666666664,2,0.3333333333333333,0.6666666666666666,0.46209812037329684
riya,4209,3,3145.3333333333335,3,0.0,1.0,0.0
riya,4210,2,25082.5,2,0.0,1.0,0.0
riya,4211,1,1504.0,1,0.0,1.0,0.0
riya,4212,2,145075.5,1,0.5,0.5,0.5493061443340549
riya,4213,5,91660.2,3,0.4,0.6,0.716703787691222
riya,4214,2,259200.0,0,1.0,0.0,1.0986122886681098
riya,4215,4,34811.25,3,0.25,0.75,0.40235947810852507
riya,4216,1,204653.0,0,1.0,0.0,0.6931471805599453
riya,4217,2,11494.0,2,0.0,1.0,0.0
riya,4218,1,2815.0,1,0.0,1.0,0.0
riya,4219,2,110738.0,1,0.5,0.5,0.5493061443340549
riya,4220,2,4436.5,2,0.0,1.0,0.0
riya,4221,2,103983.5,1,0.5,0.5,0.5493061443340549
riya,4222,4,58324.25,3,0.25,0.75,0.40235947810852507
riya,4223,2,59529.5,1,0.5,0.5,0.5493061443340549
riya,4224,3,112792.66666666667,3,0.0,1.0,0.0
riya,4225,2,75585.0,0,1.0,0.0,1.0986122886681098
riya,4226,2,140159.5,1,0.5,0.5,0.5493061443340549
