spotify_track_uri,track_name,artist_name,album_name,tags,danceability,energy,valence,tempo,loudness,acousticness,instrumentalness,speechiness,liveness,key,mode,time_signature,track_id,artist_id
spotify:track:1jx2AkTS9PIG3HXtICzsF0,Suspicious,Zion.T,POSER,"['asian', 'pop', 'k-pop', 'r&b', 'r&b, funk & soul']",0.77,0.7,0.64,106.02,-5.66,0.03,0.0,0.06,0.06,5.0,0.0,4.0,40,2096
spotify:track:4udQ9x6PZTNkO6Jwxdn0iw,ANIRAGO (feat. Zion.T),Slom,WEATHER REPORT,"['asian', 'pop', 'k-pop', 'r&b', 'r&b, funk & soul', 'soul']",0.83,0.5,0.76,107.97,-6.56,0.22,0.0,0.04,0.11,0.0,0.0,4.0,41,1742
spotify:track:6xQnh8lTm10XOzLNxd2DCg,THE GONLAN SONG,SUMIN,MINISERIES,"['asian', 'pop', 'k-pop', 'r&b', 'r&b, funk & soul']",0.86,0.66,0.79,95.99,-3.95,0.14,0.0,0.08,0.15,4.0,0.0,4.0,42,1653
spotify:track:7DvFR2dvSF7YIZf947yhwn,NA B YA,PEEJAY,"WALKIN', Vol.2","['hip hop', 'hip-hop & rap']",0.86,0.64,0.57,108.01,-7.69,0.05,0.0,0.07,0.33,5.0,1.0,4.0,43,1455
spotify:track:6D9A2Tz5qxpXWnu9QHLqC5,JUST A BREAKUP,SUMIN,MINISERIES 2,"['asian', 'pop', 'k-pop', 'r&b', 'r&b, funk & soul']",0.71,0.46,0.43,118.01,-11.41,0.37,0.04,0.04,0.12,2.0,0.0,4.0,44,1653
spotify:track:1w5cQpiBrPmwcIgRrz1Jcc,Slip N Slide (feat. Skillibeng & Shenseea),Wizkid,"More Love, Less Ego","['hip-hop', 'afrobeat', 'afrobeats', 'nigeria', 'all', 'afropop', 'nigerian', 'hip hop']",,,,,,,,,,,,,45,2030
spotify:track:7vVs4XCsQyGn1Au3drvo9Z,Call Me Every Day (feat. Wizkid),Chris Brown,Call Me Every Day (feat. Wizkid),"['r&b', 'r&b, funk & soul']",0.73,0.63,0.77,171.86,-7.19,0.12,0.0,0.18,0.1,4.0,0.0,4.0,46,375
spotify:track:10iOUv300e6UmQFxZqTuhK,Dam,Loco,SCRAPS,"['hip hop', 'hip-hop & rap']",0.8,0.55,0.54,160.03,-7.78,0.08,0.04,0.11,0.16,5.0,0.0,4.0,47,1157
spotify:track:01WDhc8gxD59xkrUDqCe5t,WeMaj (feat. Rapsody),Terrace Martin,Come As You Are,"['r&b', 'r&b, funk & soul', 'soul']",0.57,0.71,0.72,150.02,-7.75,0.13,0.0,0.1,0.23,10.0,0.0,4.0,48,1855
spotify:track:6BwreSO8OHS1Nyqa7QU7Q9,Good Vibration,Dok2,CRAZY,"['hip hop', 'hip-hop & rap']",0.81,0.83,0.8,96.13,-4.75,0.24,0.0,0.39,0.09,10.0,0.0,4.0,49,520
spotify:track:5rVNSn0bKlEv9dERkt6JCh,Thumb Part 2,Dok2,CRAZY,"['hip hop', 'hip-hop & rap']",0.79,0.86,0.85,93.0,-5.23,0.21,0.0,0.12,0.23,4.0,0.0,4.0,50,520
spotify:track:7Hcs02g7gkUMEI5OFTyCwQ,Vibe (Outro),Dok2,CRAZY,"['hip hop', 'hip-hop & rap']",0.62,0.51,0.42,82.4,-7.62,0.68,0.0,0.15,0.2,2.0,0.0,4.0,51,520
spotify:track:0V7SLyAkN8PZcbh7iRwOyw,Waikiki (Intro),Dok2,L A V A,"['hip hop', 'hip-hop & rap', 'pop', 'k-pop']",0.62,0.76,0.91,90.51,-8.43,0.37,0.0,0.18,0.23,1.0,1.0,4.0,52,520
spotify:track:3pbfNTXeLGUXHpH62ZlNmf,On My Way Remastered 2024,Dok2,808 HI REupMASTERS,"['hip-hop', 'rap', 'korean', 'korean hip-hop', 'k-hiphop', 'underground hip-hop', 'male vocalists', 'all']",,,,,,,,,,,,,53,520
spotify:track:2R9u5NUWGHjzRP4wvQh5cz,UMMA,Dok2,UMMA,"['hip hop', 'hip-hop & rap', 'pop', 'k-pop']",0.53,0.46,0.34,168.41,-11.79,0.21,0.0,0.41,0.31,7.0,1.0,4.0,54,520
